antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Bread'}),frozenset({'Butter'}),0.4,0.4,0.2,0.5,1.25,1.0,0.03999999999999998,1.2,0.3333333333333332,0.3333333333333333,0.16666666666666663,0.5
frozenset({'Butter'}),frozenset({'Bread'}),0.4,0.4,0.2,0.5,1.25,1.0,0.03999999999999998,1.2,0.3333333333333332,0.3333333333333333,0.16666666666666663,0.5
frozenset({'Bread'}),frozenset({'Milk'}),0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
frozenset({'Milk'}),frozenset({'Bread'}),0.6,0.4,0.4,0.6666666666666667,1.6666666666666667,1.0,0.16000000000000003,1.8000000000000003,1.0,0.6666666666666667,0.44444444444444453,0.8333333333333334
frozenset({'Milk'}),frozenset({'Butter'}),0.6,0.4,0.4,0.6666666666666667,1.6666666666666667,1.0,0.16000000000000003,1.8000000000000003,1.0,0.6666666666666667,0.44444444444444453,0.8333333333333334
frozenset({'Butter'}),frozenset({'Milk'}),0.4,0.6,0.4,1.0,1.6666666666666667,1.0,0.16000000000000003,inf,0.6666666666666669,0.6666666666666667,1.0,0.8333333333333334
frozenset({'Cookies'}),frozenset({'Coffee'}),0.4,0.4,0.4,1.0,2.5,1.0,0.24,inf,1.0,1.0,1.0,1.0
frozenset({'Coffee'}),frozenset({'Cookies'}),0.4,0.4,0.4,1.0,2.5,1.0,0.24,inf,1.0,1.0,1.0,1.0
"frozenset({'Bread', 'Milk'})",frozenset({'Butter'}),0.4,0.4,0.2,0.5,1.25,1.0,0.03999999999999998,1.2,0.3333333333333332,0.3333333333333333,0.16666666666666663,0.5
"frozenset({'Bread', 'Butter'})",frozenset({'Milk'}),0.2,0.6,0.2,1.0,1.6666666666666667,1.0,0.08000000000000002,inf,0.5,0.3333333333333333,1.0,0.6666666666666667
"frozenset({'Milk', 'Butter'})",frozenset({'Bread'}),0.4,0.4,0.2,0.5,1.25,1.0,0.03999999999999998,1.2,0.3333333333333332,0.3333333333333333,0.16666666666666663,0.5
frozenset({'Bread'}),"frozenset({'Milk', 'Butter'})",0.4,0.4,0.2,0.5,1.25,1.0,0.03999999999999998,1.2,0.3333333333333332,0.3333333333333333,0.16666666666666663,0.5
frozenset({'Milk'}),"frozenset({'Bread', 'Butter'})",0.6,0.2,0.2,0.33333333333333337,1.6666666666666667,1.0,0.08000000000000002,1.2000000000000002,1.0,0.3333333333333333,0.16666666666666669,0.6666666666666667
frozenset({'Butter'}),"frozenset({'Bread', 'Milk'})",0.4,0.4,0.2,0.5,1.25,1.0,0.03999999999999998,1.2,0.3333333333333332,0.3333333333333333,0.16666666666666663,0.5
